Designator,Mid X,Mid Y,Rotation,Layer
C1,146.255001,-102.6,0.0,bottom
C10,146.6,-106.9,90.0,bottom
C11,138.25,-103.0,0.0,bottom
C12,139.1,-104.2,0.0,bottom
C13,144.2475,-120.9075,0.0,top
C14,126.76,-115.2,180.0,top
C15,146.600002,-107.88,270.0,bottom
C16,142.120001,-101.8,180.0,bottom
C17,140.520002,-104.2,180.0,bottom
C19,145.3,-98.149999,90.0,bottom
C2,145.3,-107.4,180.0,bottom
C20,147.4,-99.145,90.0,bottom
C21,141.8,-102.9,270.0,bottom
C22,144.545001,-100.200001,180.0,bottom
C23,149.455001,-105.8,0.0,bottom
C24,149.345001,-102.6,180.0,bottom
C25,151.8,-104.4,180.0,bottom
C26,150.6,-105.8,180.0,bottom
C27,146.7,-99.145,90.0,bottom
C28,149.320001,-109.0,180.0,bottom
C29,144.655001,-103.4,180.0,bottom
C3,145.0,-109.5,270.0,bottom
C30,146.280002,-104.2,0.0,bottom
C31,136.2,-90.65,90.0,top
C32,160.025,-115.0,180.0,top
C33,160.025,-113.5,180.0,top
C34,161.2,-94.309999,90.0,top
C35,138.1,-84.25,180.0,top
C36,151.080001,-84.25,180.0,top
C37,149.775,-95.7,180.0,bottom
C38,139.5,-93.5,90.0,bottom
C39,142.48,-94.5,180.0,bottom
C4,147.745001,-100.200001,180.0,bottom
C40,141.52,-91.5,0.0,bottom
C41,149.48,-94.5,180.0,bottom
C42,146.0,-93.02,90.0,bottom
C43,148.52,-91.5,0.0,bottom
C44,142.775,-95.7,180.0,bottom
C45,130.3,-119.725,90.0,top
C46,136.9,-119.55,90.0,top
C48,130.3,-112.425,90.0,top
C49,136.899999,-112.15,90.0,top
C5,146.280001,-105.8,0.0,bottom
C51,130.3,-116.075,90.0,top
C52,136.9,-115.825,90.0,top
C54,159.1625,-117.65,90.0,top
C55,159.1625,-120.75,270.0,top
C6,142.35,-106.6,0.0,bottom
C7,144.655001,-102.6,0.0,bottom
C8,146.255001,-103.4,0.0,bottom
C9,138.850001,-106.6,180.0,bottom
D1,122.5,-121.2,0.0,top
D2,162.2,-82.487501,270.0,top
D3,159.61,-82.4875,270.0,top
D4,157.019999,-82.4875,270.0,top
D5,154.43,-82.4875,270.0,top
J1,145.01,-128.2,90.0,top
J7,121.59,-105.0,180.0,top
J8,165.0,-105.0,90.0,top
L1,156.25,-115.4,180.0,top
R1,138.66,-124.690001,90.0,top
R10,163.709999,-125.43,0.0,top
R11,163.7,-126.7,0.0,top
R12,163.7,-127.970001,0.0,top
R13,143.257501,-113.25,180.0,top
R14,140.7,-113.25,180.0,top
R15,141.987501,-120.907501,180.0,top
R16,141.08,-105.1,0.0,bottom
R17,150.8,-101.909999,270.0,bottom
R18,151.109999,-107.0,180.0,bottom
R19,129.475,-91.65,270.0,top
R2,141.2,-124.690001,90.0,top
R20,136.2,-95.18,270.0,top
R21,130.5,-96.1,0.0,top
R22,130.5,-97.385,0.0,top
R23,130.5,-98.6,0.0,top
R24,130.51,-99.925,0.0,top
R25,130.5,-101.2,0.0,top
R26,130.5,-102.465,0.0,top
R27,130.51,-103.773632,0.0,top
R28,130.51,-105.005,0.0,top
R29,130.51,-106.298176,0.0,top
R3,143.739999,-124.690001,90.0,top
R30,130.51,-107.545001,0.0,top
R31,130.51,-110.085,0.0,top
R32,130.51,-108.82272,0.0,top
R33,160.590001,-112.25,180.0,top
R35,159.9,-94.909999,90.0,top
R36,162.2,-85.684999,90.0,top
R37,159.61,-85.684999,90.0,top
R38,157.02,-85.684999,90.0,top
R39,154.43,-85.684999,90.0,top
R4,146.28,-124.690001,90.0,top
R40,138.1,-86.45,0.0,top
R41,151.11,-86.45,0.0,top
R42,138.1,-85.350001,180.0,top
R43,151.11,-85.350001,180.0,top
R44,134.6,-119.990001,270.0,top
R45,135.1,-118.55,180.0,top
R46,134.6,-112.690001,270.0,top
R47,135.1,-111.25,180.0,top
R48,134.6,-116.340001,270.0,top
R49,135.11,-114.920001,180.0,top
R5,125.0,-121.2,0.0,top
R50,157.372499,-121.65,0.0,top
R51,153.6,-119.790001,270.0,top
R54,158.9,-94.909999,90.0,top
R6,125.0,-122.25,180.0,top
R7,124.109999,-91.4,180.0,top
R8,124.109999,-88.35,180.0,top
R9,136.8,-123.440001,90.0,top
SW1,131.0,-126.2,0.0,top
SW2,131.92,-84.2,180.0,top
SW3,144.92,-84.2,180.0,top
SW4,158.4,-126.7,0.0,top
U1,145.0,-105.0,180.0,top
U2,141.8625,-117.0075,270.0,top
U3,139.5,-91.000001,0.0,top
U4,146.5,-91.0,0.0,top
U5,132.5125,-119.85,180.0,top
U6,132.5,-112.55,180.0,top
U7,132.4875,-116.2,180.0,top
U8,156.2625,-119.35,180.0,top
X1,133.4,-92.4,270.0,top
